"source","source_incident_id","occurred_at","fetched_at","lat","lon","nature","disposition","address","city","geocoded_at","geocode_quality","status","raw","geocode_attempts","geocode_locked_by","geocode_locked_at","last_changed"
"lee_county","15-338788","2015-08-12 04:39:05+00","2026-06-08 12:00:55.426794+00","26.682685435149","-81.686404931941","DISTURBANCE","05-HANDLED BY DEPUTY","3303 72ND ST W","LEHIGH ACRES","2026-06-08 21:02:26.037463+00","EXACT",,"{""id"":""15-338788"",""city"":""LEHIGH ACRES"",""nature"":""DISTURBANCE"",""address"":""3303 72ND ST W"",""disposition"":""05-HANDLED BY DEPUTY"",""occuredDate"":""2015-08-12 00:39:05.0000000"",""incidentNumber"":""15-338788""}","0","tolga","2026-06-08 20:00:22.690015+00","2026-06-08 12:00:55.426794+00"
"lee_county","15-329897","2015-08-06 17:11:44+00","2026-06-08 12:00:55.426794+00","26.682943686166","-81.680022862091","BURGLARY - RESIDENCE","08-REPORT TAKEN","3104 72ND ST W","LEHIGH ACRES","2026-06-08 21:02:26.037463+00","EXACT",,"{""id"":""15-329897"",""city"":""LEHIGH ACRES"",""nature"":""BURGLARY - RESIDENCE"",""address"":""3104 72ND ST W"",""disposition"":""08-REPORT TAKEN"",""occuredDate"":""2015-08-06 13:11:44.0000000"",""incidentNumber"":""15-329897""}","0","tolga","2026-06-08 20:00:22.690015+00","2026-06-08 12:00:55.426794+00"
"lee_county","18-310836","2018-07-04 23:50:04+00","2026-06-11 04:34:20.075946+00","26.324800503922","-81.70948656831","DISTURBANCE","05-HANDLED BY DEPUTY","28647 ALESSANDRIA CIR","BONITA SPRINGS","2026-06-11 06:00:09.521001+00","EXACT",,"{""id"":""18-310836"",""city"":""BONITA SPRINGS"",""nature"":""DISTURBANCE"",""address"":""28647 ALESSANDRIA CIR"",""disposition"":""05-HANDLED BY DEPUTY"",""occuredDate"":""2018-07-04 19:50:04.0000000"",""incidentNumber"":""18-310836""}","0","tolga","2026-06-11 05:02:53.208705+00","2026-06-11 04:34:20.075946+00"
"lee_county","19-519268","2019-11-03 03:04:57+00","2026-06-11 04:34:20.075946+00","26.324816803539","-81.70847560585","DISTURBANCE","10-GONE ON ARRIVAL","28683 ALESSANDRIA CIR","BONITA SPRINGS","2026-06-11 06:00:09.521001+00","EXACT",,"{""id"":""19-519268"",""city"":""BONITA SPRINGS"",""nature"":""DISTURBANCE"",""address"":""28683 ALESSANDRIA CIR"",""disposition"":""10-GONE ON ARRIVAL"",""occuredDate"":""2019-11-02 23:04:57.0000000"",""incidentNumber"":""19-519268""}","0","tolga","2026-06-11 05:02:53.208705+00","2026-06-11 04:34:20.075946+00"
"lee_county","21-372762","2021-07-29 22:09:12+00","2026-06-11 04:49:35.554493+00","26.701015119747","-81.924971790425","DISTURBANCE","11-CONDITION CORRECTED","NE 24TH AVE & ALENA CT","NORTH FORT MYER","2026-06-11 06:00:09.521001+00","EXACT",,"{""id"":""21-372762"",""city"":""NORTH FORT MYER"",""nature"":""DISTURBANCE"",""address"":""NE 24TH AVE & ALENA CT"",""disposition"":""11-CONDITION CORRECTED"",""occuredDate"":""2021-07-29 18:09:12.0000000"",""incidentNumber"":""21-372762""}","0","tolga","2026-06-11 05:02:53.208705+00","2026-06-11 04:49:35.554493+00"
"lee_county","17-411251","2017-09-11 23:01:52+00","2026-06-08 12:00:55.426794+00","26.682738309264","-81.684052827835","SHOTS FIRED/HEARD","05-HANDLED BY DEPUTY","3205 72ND ST W ; IMPASSABLE","LEHIGH ACRES","2026-06-08 20:00:22.370717+00","EXACT",,"{""id"":""17-411251"",""city"":""LEHIGH ACRES"",""nature"":""SHOTS FIRED/HEARD"",""address"":""3205 72ND ST W ; IMPASSABLE"",""disposition"":""05-HANDLED BY DEPUTY"",""occuredDate"":""2017-09-11 19:01:52.0000000"",""incidentNumber"":""17-411251""}","0","tolga","2026-06-08 19:01:27.065506+00","2026-06-08 12:00:55.426794+00"
"lee_county","26-016993","2026-01-10 03:27:45+00","2026-06-11 04:34:20.075946+00","26.3295163","-81.7104376","ANIMAL","05-HANDLED BY DEPUTY","ALESSANDRIA CIR / BOCCACCIO WAY","BONITA SPRINGS","2026-06-11 06:00:09.521001+00","overpass:intersection",,"{""id"":""26-016993"",""city"":""BONITA SPRINGS"",""nature"":""ANIMAL"",""address"":""ALESSANDRIA CIR / BOCCACCIO WAY"",""disposition"":""05-HANDLED BY DEPUTY"",""occuredDate"":""2026-01-09 22:27:45.0000000"",""incidentNumber"":""26-016993""}","0","tolga","2026-06-11 05:02:53.208705+00","2026-06-11 04:34:20.075946+00"
"lee_county","26-306210","2026-06-08 00:25:40+00","2026-06-11 04:53:21.621576+00","26.34389878268","-81.760315391383","HARASSMENT","15-WRITTEN DOCUMENTATION NON UCR","27173 ELAINE DR","BONITA SPRINGS","2026-06-11 06:00:09.521001+00","EXACT",,"{""id"":""26-306210"",""city"":""BONITA SPRINGS"",""nature"":""HARASSMENT"",""address"":""27173 ELAINE DR"",""disposition"":""15-WRITTEN DOCUMENTATION NON UCR"",""occuredDate"":""2026-06-07 20:25:40.0000000"",""incidentNumber"":""26-306210""}","0","tolga","2026-06-11 05:02:53.208705+00","2026-06-11 04:53:21.621576+00"
"lee_county","17-307408","2017-07-10 04:13:58+00","2026-06-11 04:34:20.075946+00","26.324832529567","-81.708990267899","DOMESTIC VIOLENCE","15-WRITTEN DOCUMENTATION NON UCR","28665 ALESSANDRIA CIR","BONITA SPRINGS","2026-06-11 06:00:09.521001+00","EXACT",,"{""id"":""17-307408"",""city"":""BONITA SPRINGS"",""nature"":""DOMESTIC VIOLENCE"",""address"":""28665 ALESSANDRIA CIR"",""disposition"":""15-WRITTEN DOCUMENTATION NON UCR"",""occuredDate"":""2017-07-10 00:13:58.0000000"",""incidentNumber"":""17-307408""}","0","tolga","2026-06-11 05:02:53.208705+00","2026-06-11 04:34:20.075946+00"
"lee_county","26-306267","2026-06-08 01:27:39+00","2026-06-11 04:53:21.621576+00","26.666183038984","-81.665041732104","DISTURBANCE","05-HANDLED BY DEPUTY","2513 55TH ST W","LEHIGH ACRES","2026-06-11 06:00:09.521001+00","EXACT",,"{""id"":""26-306267"",""city"":""LEHIGH ACRES"",""nature"":""DISTURBANCE"",""address"":""2513 55TH ST W"",""disposition"":""05-HANDLED BY DEPUTY"",""occuredDate"":""2026-06-07 21:27:39.0000000"",""incidentNumber"":""26-306267""}","0","tolga","2026-06-11 05:02:53.208705+00","2026-06-11 04:53:21.621576+00"
"lee_county","16-160977","2016-04-04 19:51:51+00","2026-06-08 12:00:55.426794+00","26.682511414158","-81.678003201862","DISTURBANCE","11-CONDITION CORRECTED","3013 72ND ST W","LEHIGH ACRES","2026-06-08 20:00:22.370717+00","EXACT",,"{""id"":""16-160977"",""city"":""LEHIGH ACRES"",""nature"":""DISTURBANCE"",""address"":""3013 72ND ST W"",""disposition"":""11-CONDITION CORRECTED"",""occuredDate"":""2016-04-04 15:51:51.0000000"",""incidentNumber"":""16-160977""}","0","tolga","2026-06-08 19:01:27.065506+00","2026-06-08 12:00:55.426794+00"
"lee_county","22-205500","2022-04-29 01:01:00+00","2026-06-11 04:19:05.158376+00","26.535368986919","-81.607262878997","DOMESTIC VIOLENCE","08-REPORT TAKEN","740 ALEE ST E","LEHIGH ACRES","2026-06-11 06:00:09.521001+00","EXACT",,"{""id"":""22-205500"",""city"":""LEHIGH ACRES"",""nature"":""DOMESTIC VIOLENCE"",""address"":""740 ALEE ST E"",""disposition"":""08-REPORT TAKEN"",""occuredDate"":""2022-04-28 21:01:00.0000000"",""incidentNumber"":""22-205500""}","0","tolga","2026-06-11 05:02:53.208705+00","2026-06-11 04:19:05.158376+00"
"lee_county","22-001776","2022-01-02 16:57:29+00","2026-06-10 04:03:11.247168+00","26.550070306058","-81.898671175351","DISTURBANCE","05-HANDLED BY DEPUTY","6445 ADELPHI CIR; PRINCIPIA","FORT MYERS","2026-06-10 07:04:26.23079+00","EXACT",,"{""id"":""22-001776"",""city"":""FORT MYERS"",""nature"":""DISTURBANCE"",""address"":""6445 ADELPHI CIR; PRINCIPIA"",""disposition"":""05-HANDLED BY DEPUTY"",""occuredDate"":""2022-01-02 11:57:29.0000000"",""incidentNumber"":""22-001776""}","0","tolga","2026-06-10 06:00:32.577592+00","2026-06-10 04:03:11.247168+00"
"lee_county","23-211269","2023-05-15 18:28:18+00","2026-06-10 04:03:11.247168+00","26.550070306058","-81.898671175351","DISTURBANCE","05-HANDLED BY DEPUTY","6445 ADELPHI CIR","FORT MYERS","2026-06-10 07:04:26.23079+00","EXACT",,"{""id"":""23-211269"",""city"":""FORT MYERS"",""nature"":""DISTURBANCE"",""address"":""6445 ADELPHI CIR"",""disposition"":""05-HANDLED BY DEPUTY"",""occuredDate"":""2023-05-15 14:28:18.0000000"",""incidentNumber"":""23-211269""}","0","tolga","2026-06-10 06:00:32.577592+00","2026-06-10 04:03:11.247168+00"
"lee_county","15-191534","2015-05-08 15:28:52+00","2026-06-08 12:00:55.426794+00","26.682625101368","-81.673414617835","DOMESTIC VIOLENCE","08-REPORT TAKEN","2815 72ND ST W","LEHIGH ACRES","2026-06-08 21:02:26.037463+00","EXACT",,"{""id"":""15-191534"",""city"":""LEHIGH ACRES"",""nature"":""DOMESTIC VIOLENCE"",""address"":""2815 72ND ST W"",""disposition"":""08-REPORT TAKEN"",""occuredDate"":""2015-05-08 11:28:52.0000000"",""incidentNumber"":""15-191534""}","0","tolga","2026-06-08 20:00:22.690015+00","2026-06-08 12:00:55.426794+00"
"lee_county","15-182473","2015-05-02 14:30:47+00","2026-06-08 12:00:55.426794+00","26.682745204956","-81.668315849703","SHOTS FIRED/HEARD","10-GONE ON ARRIVAL","2609 72ND ST W","LEHIGH ACRES","2026-06-08 21:02:26.037463+00","EXACT",,"{""id"":""15-182473"",""city"":""LEHIGH ACRES"",""nature"":""SHOTS FIRED/HEARD"",""address"":""2609 72ND ST W"",""disposition"":""10-GONE ON ARRIVAL"",""occuredDate"":""2015-05-02 10:30:47.0000000"",""incidentNumber"":""15-182473""}","0","tolga","2026-06-08 20:00:22.690015+00","2026-06-08 12:00:55.426794+00"
"lee_county","15-151943","2015-04-12 13:39:24+00","2026-06-08 12:00:55.426794+00","26.68274487406","-81.673184790422","DISTURBANCE","05-HANDLED BY DEPUTY","2804 72ND ST W","LEHIGH ACRES","2026-06-08 21:02:26.037463+00","EXACT",,"{""id"":""15-151943"",""city"":""LEHIGH ACRES"",""nature"":""DISTURBANCE"",""address"":""2804 72ND ST W"",""disposition"":""05-HANDLED BY DEPUTY"",""occuredDate"":""2015-04-12 09:39:24.0000000"",""incidentNumber"":""15-151943""}","0","tolga","2026-06-08 20:00:22.690015+00","2026-06-08 12:00:55.426794+00"
"lee_county","17-055951","2017-02-05 22:27:04+00","2026-06-07 15:22:39.094179+00","26.574920058338","-81.672560262655","DISTURBANCE","11-CONDITION CORRECTED","2905 42ND ST SW","LEHIGH ACRES","2026-06-07 20:01:07.680599+00","EXACT",,"{""id"":""17-055951"",""city"":""LEHIGH ACRES"",""nature"":""DISTURBANCE"",""address"":""2905 42ND ST SW"",""disposition"":""11-CONDITION CORRECTED"",""occuredDate"":""2017-02-05 17:27:04.0000000"",""incidentNumber"":""17-055951""}","0","tolga","2026-06-07 19:00:12.259851+00","2026-06-07 15:22:39.094179+00"
"lee_county","16-587818","2017-01-01 02:59:37+00","2026-06-07 15:22:39.094179+00","26.574926792333","-81.685989282125","SHOTS FIRED/HEARD","05-HANDLED BY DEPUTY","3402 42ND ST SW","LEHIGH ACRES","2026-06-07 20:01:07.680599+00","EXACT",,"{""id"":""16-587818"",""city"":""LEHIGH ACRES"",""nature"":""SHOTS FIRED/HEARD"",""address"":""3402 42ND ST SW"",""disposition"":""05-HANDLED BY DEPUTY"",""occuredDate"":""2016-12-31 21:59:37.0000000"",""incidentNumber"":""16-587818""}","0","tolga","2026-06-07 19:00:12.259851+00","2026-06-07 15:22:39.094179+00"
